language,setCode,translation
Italian,ISD,Innistrad
Japanese,ISD,
Korean,ISD,
Portuguese (Brazil),ISD,
Russian,ISD,
Spanish,ISD,Innistrad
Chinese Simplified,J22,
Chinese Traditional,J22,
French,J22,Jumpstart 2022
German,J22,Jumpstart 2022
Italian,J22,Jumpstart 2022
Japanese,J22,
Korean,J22,
Portuguese (Brazil),J22,
Russian,J22,
Spanish,J22,Jumpstart 2022
Chinese Simplified,JMP,
Chinese Traditional,JMP,
French,JMP,Jumpstart
German,JMP,Jumpstart
Italian,JMP,Jumpstart
Japanese,JMP,
Korean,JMP,
Portuguese (Brazil),JMP,
Russian,JMP,
Spanish,JMP,Jumpstart
Chinese Simplified,JOU,
Chinese Traditional,JOU,
French,JOU,Incursion dans Nyx
German,JOU,Reise nach Nyx
Italian,JOU,Viaggio verso Nyx
Japanese,JOU,
Korean,JOU,
Portuguese (Brazil),JOU,
Russian,JOU,
Spanish,JOU,Travesía de Nyx
Chinese Simplified,JUD,
Chinese Traditional,JUD,
French,JUD,Jugement
German,JUD,Abrechnung
Italian,JUD,Sentenza
Japanese,JUD,
Korean,JUD,
Portuguese (Brazil),JUD,
Russian,JUD,
Spanish,JUD,Juicio
Chinese Simplified,KHM,
Chinese Traditional,KHM,
French,KHM,Kaldheim
German,KHM,Kaldheim
Italian,KHM,Kaldheim
Japanese,KHM,
Korean,KHM,
Portuguese (Brazil),KHM,
Russian,KHM,
Spanish,KHM,Kaldheim
Chinese Simplified,KLD,
Chinese Traditional,KLD,
French,KLD,Kaladesh
German,KLD,Kaladesh
Italian,KLD,Kaladesh
Japanese,KLD,
Korean,KLD,
Portuguese (Brazil),KLD,
Russian,KLD,
Spanish,KLD,Kaladesh
Chinese Simplified,KTK,
Chinese Traditional,KTK,
French,KTK,Les Khans de Tarkir
German,KTK,Khans of Tarkir
Italian,KTK,Khans of Tarkir
Japanese,KTK,
Korean,KTK,
Portuguese (Brazil),KTK,
Russian,KTK,
Spanish,KTK,Khans of Tarkir
Chinese Simplified,LEG,
Chinese Traditional,LEG,
French,LEG,Legends
German,LEG,Legends
Italian,LEG,Legends
Japanese,LEG,
Korean,LEG,
Portuguese (Brazil),LEG,
Russian,LEG,
Spanish,LEG,Legends
Chinese Simplified,LGN,
Chinese Traditional,LGN,
French,LGN,Légions
German,LGN,Legionen
Italian,LGN,Legioni
Japanese,LGN,
Korean,LGN,
Portuguese (Brazil),LGN,
Russian,LGN,
Spanish,LGN,Legiones
Chinese Simplified,LRW,
Chinese Traditional,LRW,
French,LRW,Lorwyn
German,LRW,Lorwyn
Italian,LRW,Lorwyn
Japanese,LRW,
Korean,LRW,
Portuguese (Brazil),LRW,
Russian,LRW,
Spanish,LRW,Lorwyn
Chinese Simplified,LTR,
Chinese Traditional,LTR,
French,LTR,Le Seigneur des Anneaux : chroniques de la Terre du Milieu
German,LTR,Der Herr der Ringe: Geschichten aus Mittelerde
